Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source
2024-02-02 15:11:19,145.242.59.216,173.84.51.30,61475,8357,FTP,182,Response,Malicious,Minute play situation wind artist rest best.,False,0.99,True,DoS,7153e27a47f3ec7612d41b9333208669789487dd,Quarantined,High,Mr. David Serrano,email-33.santos-simmons.com,Segment A,Reunion,False,Fight side pay four nature manage less.,True,IDS
2024-01-25 18:06:30,31.214.67.69,220.92.111.74,44255,32725,TCP,147,Request,Malicious,Officer onto do scene economy voice president.,False,0.45,True,DDoS,37a4a5646e121732f23fd7cc052bdf4b764abfc5,Flagged,Critical,Mercedes Nelson,laptop-36.cortez-snyder.com,Segment A,Tunisia,True,Decide fact similar discuss another card.,False,Server
2024-01-16 16:00:31,21.42.170.185,154.230.158.198,62389,27183,ICMP,377,Request,Malicious,Use born open south nice probably task major.,True,0.17,True,Ransomware,ac6442fe9cd03e3cb69185a34a12dcfefd7e0bb5,Blocked,Critical,Cynthia Pham MD,email-44.harrison.com,Segment A,Greece,True,Run policy type local in law.,False,Firewall
2024-04-05 02:03:46,232.202.154.198,171.221.165.59,20453,24154,HTTPS,1415,Error,Malicious,Treat environment physical history whose apply.,False,0.63,True,Phishing,c7a6641759a802968bfe1af67727e81f1b9c0790,Quarantined,Medium,Jennifer Franklin,laptop-00.quinn.net,Segment B,Mozambique,True,Face Republican company.,True,Firewall
2024-04-18 21:30:59,159.24.86.214,246.77.216.126,4230,5950,HTTPS,859,Error,Malicious,That lawyer happy.,True,0.94,False,Man-in-the-Middle,03f9a8cb9b7f2344528aed9fef481f00da1983e7,Blocked,Critical,Alejandra Hogan,srv-78.fernandez-adams.com,Segment B,Greece,True,Court policy either lay know letter.,True,Router
2024-03-05 19:14:44,111.34.139.100,139.131.115.36,12640,28355,TCP,150,Error,Normal,Final brother left off enter himself.,False,0.38,True,Brute Force,f68b33066a157393361ea179a8c4204bc1b255c8,Quarantined,Critical,Walter Cunningham,lt-22.bryant.com,Segment C,Bahamas,True,Maybe give paper those television.,False,Switch
2024-04-10 03:07:52,54.199.54.156,55.236.202.110,52716,18627,HTTPS,134,Request,Normal,Arm into brother debate especially create.,True,0.56,True,SQL Injection,49c15320b457bcc12b2b3697559191e15266cc07,Quarantined,Critical,Stephanie Dunn,lt-38.torres.com,Segment A,Heard Island and McDonald Islands,False,There action particularly country enough alone.,False,Router
2024-04-30 14:31:47,37.45.41.55,160.61.166.177,64252,16070,SMTP,1451,Request,Malicious,Voice per strategy statement.,False,0.25,True,Man-in-the-Middle,76980224d8accc02da3c1bcbcb88c72daded8c23,Flagged,High,Richard Davis,desktop-43.jones.com,Segment C,Albania,False,Kind hundred industry book medical good some.,True,Server
2024-06-05 15:59:27,48.1.233.191,117.77.130.90,35497,16105,SMTP,934,Response,Anomalous,Magazine occur world teach hit cover.,True,0.33,True,Phishing,fd86dce888e73a06bf8aec4217c71d440416d4fe,Flagged,Low,Scott Johnson,lt-89.arroyo.com,Segment A,New Caledonia,True,Risk special growth avoid personal pass weight.,False,IPS
2024-06-21 21:09:31,134.108.16.117,166.247.78.0,22581,56948,HTTP,713,Request,Malicious,Power pick maybe fact particular ask.,True,0.74,True,Ransomware,07c87afe8fe96f4bb2637ad116ee4d5111c45a65,Allowed,Medium,Robert Hernandez,db-45.jones-calhoun.com,Segment C,Guinea,False,Now although step sign chance expect.,True,Server
